Price,Close,High,Low,Open,Volume,RSI,Lower_Band,Upper_Band,Daily_Log_Return,MACD
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,,,,
Date,,,,,,,,,,
2020-01-02,3257.85009765625,3258.139892578125,3235.530029296875,3244.669921875,3459930000,71.66333313479213,3221.5948394823195,3340.079159541118,-0.7084909364953873,11.673056435852232
2020-01-03,3234.85009765625,3246.14990234375,3222.340087890625,3226.360107421875,3484700000,71.66333313479213,3221.5948394823195,3340.079159541118,-0.7084909364953873,11.673056435852232
2020-01-06,3246.280029296875,3246.840087890625,3214.639892578125,3217.550048828125,3702460000,71.66333313479213,3221.5948394823195,3340.079159541118,0.3527145194272663,11.673056435852232
2020-01-07,3237.179931640625,3244.909912109375,3232.429931640625,3241.860107421875,3435910000,71.66333313479213,3221.5948394823195,3340.079159541118,-0.2807175084594604,11.673056435852232
2020-01-08,3253.050048828125,3267.070068359375,3236.669921875,3238.590087890625,3726840000,71.66333313479213,3221.5948394823195,3340.079159541118,0.4890473485641422,11.673056435852232
2020-01-09,3274.699951171875,3275.580078125,3263.669921875,3266.030029296875,3641230000,71.66333313479213,3221.5948394823195,3340.079159541118,0.6633214116906316,11.673056435852232
2020-01-10,3265.35009765625,3282.989990234375,3260.860107421875,3281.81005859375,3214580000,71.66333313479213,3221.5948394823195,3340.079159541118,-0.2859262487506342,11.673056435852232
2020-01-13,3288.1298828125,3288.1298828125,3268.429931640625,3271.1298828125,3459390000,71.66333313479213,3221.5948394823195,3340.079159541118,0.6951994045934384,11.673056435852232
2020-01-14,3283.14990234375,3294.25,3277.18994140625,3285.35009765625,3687620000,71.66333313479213,3221.5948394823195,3340.079159541118,-0.1515680836895683,11.673056435852232
2020-01-15,3289.2900390625,3298.659912109375,3280.68994140625,3282.27001953125,3721490000,71.66333313479213,3221.5948394823195,3340.079159541118,0.1868450243687647,11.673056435852232
2020-01-16,3316.81005859375,3317.110107421875,3302.820068359375,3302.969970703125,3540580000,71.66333313479213,3221.5948394823195,3340.079159541118,0.8331747422232638,11.673056435852232
2020-01-17,3329.6201171875,3329.8798828125,3318.860107421875,3323.659912109375,3726220000,71.66333313479213,3221.5948394823195,3340.079159541118,0.38547232474837045,11.673056435852232
2020-01-21,3320.7900390625,3329.7900390625,3316.610107421875,3321.030029296875,4104840000,71.66333313479213,3221.5948394823195,3340.079159541118,-0.2655500369584729,11.673056435852232
2020-01-22,3321.75,3337.77001953125,3320.0400390625,3330.02001953125,3623780000,71.66333313479213,3221.5948394823195,3340.079159541118,0.02890342966814785,11.673056435852232
2020-01-23,3325.5400390625,3326.8798828125,3301.8701171875,3315.77001953125,3766710000,72.68278568102781,3221.5948394823195,3340.079159541118,0.11403261933580211,11.673056435852232
